Reference, Quantity, Value, Footprint, Datasheet, LCSC Part
C4 C3 C2 C1 C26 ,5,"10u","stdpads:C_0805","~","C15850"
C5 C25 C24 C23 C22 C21 C20 C19 C18 C17 C16 C15 C14 C13 C12 C11 C10 C9 C8 C7 C6 C27 ,22,"2u2","stdpads:C_0603","~","C23630"
FID1 FID2 FID3 FID4 ,4,"Fiducial","stdpads:Fiducial","~"
H1 H2 H4 H5 ,4," ","stdpads:PasteHole_1.152mm_NPTH","~"
H3 ,1," ","stdpads:PasteHole_1.1mm_PTH","~"
J1 ,1,"Memory Expansion","stdpads:AppleIIgsMemoryExpansion_Edge","~"
J2 ,1,"JTAG","Connector:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","~"
R1 R2 ,2,"22k","stdpads:R_0805","~","C17560"
R3 ,1,"100","stdpads:R_0805","~","C17408"
RN2 RN3 RN5 RN4 RN1 ,5,"4x33","stdpads:R4_0402","~","C25501"
U1 ,1,"EPM240T100C5N","stdpads:TQFP-100_14x14mm_P0.5mm","https://www.altera.com/content/dam/altera-www/global/en_US/pdfs/literature/hb/max2/max2_mii5v1.pdf","C10041"
U10 U9 ,2,"74LVC1G04GW","stdpads:SOT-353","","C10237"
U2 ,1,"W9812G6KH-6","stdpads:TSOP-II-54_22.2x10.16mm_P0.8mm","","C62379"
U3 ,1,"60M","stdpads:Crystal_SMD_7050-4Pin_7.0x5.0mm_SiTime","","C26255"
U4 ,1,"74AHCT245PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","","C173388"
U6 U5 U7 ,3,"74LVC245APW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","","C6082"
U8 ,1,"AZ1117CH-3.3","stdpads:SOT-223","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","C92102"
